comment,label
"여보세요? 되십니까? 안녕하세요 서울종합지금 이고요 저는 첨단범죄수사팀에 박진석 수석원입니다 네, 잘 먹고 싶어요
있기 때문에 김창월 단들한테 판매를 했어요",0
당연히 본인의 자금을 인출할 수 있는 범죄가 저질러줄 수도 있고요,0
"이라던지 같은 경우 카드사같은 경우 국민카드, 롯데카드 개인정보 집이 있었고요",0
그리고 은행사 같은 경우는 국민은행농협은행 신한은행 개인정보 유출이 있었던가요 계시죠,0
이런 경로를 통해서 요즘 개인정보 유출이 많이 일어나고 있고요,0
요즘 직장분들 가족분들친구 분들을 통해서도 개인정보 유출이 많이 일어나고 있습니다,0
그리고 이제 지금 요즘 중국 해커들이 한국에 있는 사이트에 접속을 해서 개인정보 유출을 많이 하는 경우도 있고요,0
요즘 휴대폰 같은 경우도 개인정보치는 많이 일어나고 있잖아요,0
그죠? 그래서 휴대폰 보안 카드같은 거 사인 직업보관하고 계시는 분들 굉장히 많이 되고 있습니다,0
이해가 되시죠,0
우선은 백육십명같은 경우는 실질적으로 통제들을 판매를 하고 그 사람들이 사용하시는 통장으로 30 만원부터 백 오십만원까지 이렇게 지급 받으시는 분들이 굉장히 많이 있었습니다,0
그런 부분이 있기 때문에 수사관이 본인이 어디고 인권을 사용을 하시고 몇 개 계절을 어떤 용도로 사용하셨는지 여쭤봤죠 그 부분 때문에 저희가 조사를 진행한다는 겁니다,0
우선은 국민 권은 어디 어디 사용하시는지 여쭤봤냐면 본인이 진술하신 거 외에 다른 금융권이 발견될 수가 있어요,0
국민은행이랑 신앙은행 작년 사월달에 개설된 그런 통장들과 같이 본인들이 사용 본인이 지금 사용 안하신다고 하셨는데 우체국이든 세 명을 일은 거든 외환은행이든 예를 들어서 말씀드리는 거예요,0
그렇게 알고 계시면 될 것 같고요,0
우선은 본인 육성에 다른 분이 육성이 들어오면 조사가 불가능하기 때문에 지금 계신 것이 직장 안에 계시는 건가요? 그래요,0
그러면 우선은 본인 육성에 다른 분이 육성이 들어오면 안 되니까 좀 조용한 곳으로 이동을 좀 해주시고요,0
"그리고 좀 챙겨주시고 스마트폰으로 사건, 공무원 지금 확인하실 겁니다",0
그리고 그리고 팬이랑 준비해주시고요 많이 걸려요,0
그렇게 오래 걸리지는 않고요,0
내가 몇가지만 확인해야 되면 되는데 그리고 우선은 사건 자체가 종결된 사건이 아니고 요즘에 개인정보 유출직장 동료분들 을 통해서 많이 일어나고 있기 때문에 수사하는 과정이나 조사받고 있는 내용들을 제 삼 자에게 공유할 수 없는 사건입니다,0
그러니까 잘 항구를 좀 해주셔야 될 것 같아요,0
우선은 뭐 본인께서 받으시는 제 삼자에게 사건에 대해서 발사할 수가 있는데 우선은 받기 전에 직장 동료분들 친구분들한테 궁금이 불가능하십니다 뭐 그러니까 직장 동료분들한테 조사받고 있는 내용들을 발사하시면 안 될 것 아직 검거하지 못한 네 명의 공범자들이 남아 있기 때문에요,0
공문확인하시면 직접적으로 확인할 수가 있어요,0
이동이 되시면 본인 휴대폰은 어떤거 사용하세요? 그래요,0
그러면 이어폰을 착용을 하시고요,0
여보세요,0
예,0
지금 제가 가가지고 말씀드리고 말씀을 드린다고요 말씀드릴게요,0
이동하셨습니까 지금 지금 조용한 곳으로 이동을 해주세요,0
보다 조금 더 시끄럽네요 갔는데 다른 오실 수 있는데요,0
우선은 본인 육성이 저희가 삼 년 동안 보관해야 되기 때문에 근데 그게 좀 여쭤보고 지금 해야 되는 거예요,0
제가 많이 급한 건 아니고요,0
왜 지금 조사를 진행하는지 말씀을 드릴게요,0
그리고요,0
전에도 한번 전화 드렸는데 중이었어요,0
오늘 오늘 중에 조사를 안 받으시면요,0
본인의 재판 날짜가 잡힐 수가 있습니다,0
재판 날짜가 잡히면요 본인이 변호사 선임을 하셔야 되고요,0
변호사 선임을 하신다고 하셔도 벌금이 나오실 수가 있어요,0
벌금 같은 경우에는 삼백 만원 이상의 벌금이 나오십니다 그거를 본인께서 감당하실 거 면요,0
네,0
그러면 그러면 지금 말고 내가 다 오분 있다가 다시 전화드리면 안 돼요,0
왜냐면 조금 정신 시간인데 제가 안 지금 조사를 해야 되잖아요,0
그래서 말씀드려야 되고 감금안 먹으러 한다고 그래요,0
그 전화를 해야 된다고요,0
그렇게 지금 무선 전화 상태가요 우선 녹취 상태조사가 오분 이상 전화가 끊기게 되면 처음부터 다시 조사를 진행해야 되고요,0
저희가 원래는 본인 편한 시간에 조사를 하는 이런 아니 아니에요,0
그래서 우선은 본인께서 우선은 조사를 받으신다고 상사분한테 말씀을 하셔야 되니까 내가 전화는 잠깐 끊어드릴 수는 있어요,0
그런데 점심시간이후에는 조사가 불가능합니다,0
지금 전화 끊어드릴까요 그래요,0
정확히 몇 분 정도 뒤에 전화드려야 될까요? 알겠습니다,0
그냥 급하게 처리해야 할 게 있어 가지고 우선 잠깐 자리를 비운 다고 식사있다가,0
나중에 할 것 같다고 이렇게 잘 말씀하시고요,0
검찰 조사 받고 있다고 발사를 하시면 안 되십니다,0
그럼 제가 정확하게 삼분 있다가 전화 드릴게요,0
"그래서 알고 계시는 부분이 있으십니까? 저희가 연락들이 전반적인 이유는 김동일당에게 결성을 돈을 받고 통장을 판매하신 가해자이신 지, 아니면 개인정보 유출에 의한 금융범죄 피해자를 확인하기 위해서 연락을 드린 부분이고요 불법 현장에서 본인 명의의 통장이 발견되다보니 본인께선 피해자 입장을 꼭 받으셔야 되는 상황입니다",0
더라고요 서울중앙지검 이고요 첨단범죄수사 일품입니다 전화번호 가요,0
변화보신 분이 어떻게 되세요? 박 수사관입니다,0
혹시 본인께서 피해자가 말이 있다면 잠시 효율적으로 부탁드리겠습니다,0
지금부터 통화내용 녹취 상태로 진행이 되고 녹취 파일은 본인 입증받으시는데 실 겁니다,0
아시겠습니까? 죄송한데요,0
"네, 알겠습니다",0
네,0
일단 본인 확인하겠는데요 맞습니까? 아닌데요,0
네,0
네,0
김광호씨 국민은행에 출근하시는 분 많으시죠? 국민은행이 아니더라고요,0
안녕 하겠습니다,0
날짜는 기억이 나지 않으시고 지금 서초동지점 이런 거는 그건 안 나와요,0
"공문상으로요, 그것은 차후에 이제 본인과 통화를 한 후에 뭐가 아니시란 말씀이세요? 부터 보내세요",0
그러시면 그러세요? 는지 모르겠네요,0
알겠어요,0
이해되십니까 일단 본인께서 피해자인지 가해자인지 그걸 조사하기 위해서 그럼 몇 가지 질문이 있겠는데요,0
그 질문을 전반조사과정은 혹시 상태로 진행됩니다? 그때 가서 본인께서 거짓말 하시거나 은닉을 하시면 안 되시고 그 아시는 내용있으면 저쪽으로 솔직히 말씀해주세요,0
녹시작해도 될까요? 혹시 그리고 조금만 크게 말씀해주세요,0
"네, 본인확인부터 다시 할게요",0
그렇죠? 전 잘 들려요,0
"그 제가 본인자체 보내드릴게요 그걸 확인하시고 저희 좀 직접 출석하세요
말씀하세요",0
사십 세 남성 이동호 씨하고 어떤 사이시죠 그런 사람 모르는데요,0
잠깐 서울어디라고요 서울지방경찰청 지능범죄수사관입니다,0
네,0
네,0
이 동물하는 사람 몰라요,0
들어보세요,0
국민은행돼서 아시는 내용이 있으세요? 아니요,0
몰라요,0
판매나 대여해준 적 그런 것도 전혀 없어요,0
저희들대표가 어디 가는데? 라는 사람이 일생아니신가요 안 주세요,0
근데 이름이 개명됐는데 지금 명의로 명의로 사용을 하시나요? 개설을 해가지고 총장을 개명해서 그 이러면 사용하고 있긴 하거든요,0
이상하네,0
근데 현재 이번 사건으로 있어서는 저희 경찰청 입장에서 볼 때 보시는 현재 이번 사건에 연루해서 돈을 받고 통장을 판매한 혐의자 신분입니다 이해하셨나요 있어요,0
왜냐하면 지금 신고가 들어와 있는 이성한씨가 신고자의 요상한 이요 이성한씨,0
그러니까 아무도 몰라요,0
그러니까 말씀을 들어보세요,0
씨가 신고 자인데 육천 만원을 사기를 당했는데 지금 씨 본인명의로 된 계좌로 입금한 돈을 입금을 하고 육 천만원을 중간에서 보이스피싱으로,0
이동호 사기단이 돈을 가로채는 사건인데 명의자가 지금 씨 본인이다 보니까 공범으로 알고 함께 신고가 된 상태고요,0
이제 우석균 씨가 이번 사건을 직접적인 가담자 인지 아니면 정보 유출로 인한 피의자인지 여부를 판단하기 위해서 먼저 간단하게 1,0
차 통화 녹음 상태로 1 차 조사를 진행하겠습니다 통화 내용은 전부 녹취하여사건 수사에 증거자료를 남길 것이고요 질문에 간단명료하게 솔직한 답변 부탁드립니다,0
혹시 지금 뭐 이동중이신 것 자택이나? 직장 아니시고 자택이나 직장 이 아니시고 차아니신가요 제가 말씀드린 이유는 녹취도중에,0
좀 주의 좀 해주시라고 말씀 드린 거예요,0
녹음시작하도록 하겠습니다,0
지금은 2733 이동훈 명의 도용 사건에 관한 일대일 전화 녹취조사과정입니다,0
지난 이천십오년 삼월 이 일 오후 2 시 30 분경에 서울 송파구 송파동 지점에서 농협 계좌를 개설한 사실이 있습니까? 없어요,0
없다고 하셨고요 다음 날인 이천십오 년 삼월 삼 일 오후 한 시 사십 분경 서울 강남구 역삼동 지점에서 계좌를 개설한 사실이 있습니까? 없다고 하셨고요 타인에게 통장을 판매하거나 양도해준 사실이 있습니까? 없다고 하셨고요 최근 사용하는 계좌로 본인이 모르는 자금의 입출금된 적이 있습니까? 잘 모르시겠고요 일 년간 주민등록증이나 운전면허있죠 여권 신분을 대신할 만한 증서를 분실한 적이 있습니까? 없어요,0
농협하나만 하시나요? 은행 거래 하실 때 인터넷 뱅킹이나 스마트뱅킹이용하시나요 전혀 세 가지다 전혀 사용 안 하시고요,0
거래내역은 문자로 통보받습니까 거래내역이요 카드 쓰면요 문재인 통보받으시고 지금까지 진술한 내용이 전부 거짓이 없는 사실입니까? 제가 다시 한번 말씀드리면 이번 사건으로 규모가 큰 사건으로서 수십 명의 피해자가 지금 수십억되는 상당의 금전적인 피해를 입을 확인됐습니다,0
혹시 혹시 작년에 농협 국민 롯데카드 정보 유출 천만건 이상 정보 유출됐을 당시 농협으로부터 혹시 고지받으신 거 있으신 전혀 없으시고요,0
일단은 지금 씨 본인의 주장대로 피해자가 맞다면 현재 본인의 개인정보가 유출이 되어서 대포통장까지 나온 걸 봐서는 차후에 범죄자들이 지금 씨 명의로 또 다른 은행에서 다른 계좌를 개설해서 불법 거래가 있을 수 있습니다,0
지금 제일 시급한 절차는 계좌추적 조율을 통해 제가 문제들과 공모사실이 없는 무고한 피해자는 걸 증명하고 또 다른 피해를 피해가 발생하지 않도록 막는 게 제일 중요하겠죠,0
제가 지금까지 드린 말씀 이해되시나요 정신없어서 잘 모르겠어요,0
